gift_key	card_key	gift_title	gift_place	gift_latitude	gift_longitude	gift_content	gift_cost	gift_date	gift_time
77	205	교보문고	교보문고	37.666876	127.078368	도서 구매시 10% 할인	1200	2016-01-04	18:01:55
78	103	롯데리아	롯데리아	37.561434	126.897028	롯데리아 음료M 제공	1700	2017-07-21	18:36:02
79	191	베스킨라빈스	베스킨라빈스	37.654946	126.947234	무료 사이즈업	1400	2017-09-22	20:33:52
80	111	파리바게트	파리바게트	37.492499	126.942466	1000원 이상 10% 할인	1100	2017-09-11	18:56:12
81	298	구이가	구이가	37.66165	127.180587	한판 주문시 사이다 제공	1500	2018-03-31	12:04:29
82	16	봄봄	봄봄	37.456234	127.097499	음료 주문시 쿠폰 도장 2개 추가	1300	2018-01-16	21:37:11
83	66	꾼	꾼	37.531303	127.135765	소주 2,000 쿠폰	2000	2016-06-02	16:26:08
84	279	아웃닭	아웃닭	37.473056	127.087555	치즈스틱 2개 제공	400	2016-06-11	16:20:53
85	193	뚜레쥬르	뚜레쥬르	37.625071	127.059569	2000원 이상 5% 할인	1600	2017-10-17	21:55:54
86	239	정형외과	정형외과	37.635995	127.089591	정형외과의료지점	400	2016-12-28	20:15:03
87	100	매드포갈릭	매드포갈릭	37.478233	127.08117	에이드 무료 제공	1400	2017-12-22	10:37:23
88	158	아웃백	아웃백	37.586233	127.122207	스테이크 주문시 10% 할인	400	2017-12-07	20:37:13
89	186	약국	약국	37.457292	127.141289	황사 마스크 증정(1매)	200	2016-06-05	14:34:01
90	70	스시진	스시진	37.635548	127.191265	2pcs 무료 제공	100	2017-11-01	14:55:49
91	278	베스킨라빈스	베스킨라빈스	37.566835	126.948725	무료 사이즈업	1500	2016-09-11	18:11:30
92	167	파리바게트	파리바게트	37.560005	126.852946	1000원 이상 10% 할인	1800	2017-10-07	20:46:03
93	177	버거킹	버거킹	37.611199	126.879832	와퍼주문시 5% 할인	2000	2016-04-25	11:13:48
94	236	멘동	멘동	37.683115	127.019593	규동 5% 할인	1300	2017-04-16	10:22:51
95	132	닭한마리	닭한마리	37.549005	126.857285	칼국수 사리 무료 리필	900	2016-02-09	15:07:20
96	148	닭한마리	닭한마리	37.681968	127.008887	칼국수 사리 무료 리필	1100	2016-09-03	18:17:50
97	105	한신포차	한신포차	37.704583	126.948128	닭발 주문시 주먹밥 증정	800	2017-09-16	14:21:37
98	8	베스킨라빈스	베스킨라빈스	37.716358	127.192415	무료 사이즈업	1900	2016-03-14	12:43:17
99	142	한신포차	한신포차	37.461763	127.180549	닭발 주문시 주먹밥 증정	1900	2017-10-01	18:34:30
100	22	꾼	꾼	37.545783	127.13426	소주 2,000 쿠폰	1800	2017-01-12	13:48:07
101	224	약국	약국	37.56833	127.103705	황사 마스크 증정(1매)	2000	2017-09-14	13:39:54
102	137	베스킨라빈스	베스킨라빈스	37.680611	127.053463	무료 사이즈업	1200	2016-08-17	20:17:45
103	10	스시진	스시진	37.656797	127.008445	2pcs 무료 제공	2000	2017-08-07	12:15:31
104	107	구이가	구이가	37.538442	127.148058	한판 주문시 사이다 제공	1500	2018-03-05	09:46:50
105	10	한신포차	한신포차	37.667376	126.925826	닭발 주문시 주먹밥 증정	100	2018-01-20	13:32:08
106	199	닭한마리	닭한마리	37.640574	127.116741	칼국수 사리 무료 리필	1900	2016-01-24	22:43:10
107	197	약국	약국	37.495009	126.902848	황사 마스크 증정(1매)	1900	2017-08-02	18:39:13
108	71	뚜레쥬르	뚜레쥬르	37.673202	127.112506	2000원 이상 5% 할인	1800	2016-11-22	22:59:25
109	170	반디앤루니스	반디앤루니스	37.460115	127.183679	도서 구매시 5% 할인	1100	2016-06-02	16:22:01
110	257	아웃백	아웃백	37.508249	126.890997	스테이크 주문시 10% 할인	1100	2017-09-26	23:03:51
111	24	아웃백	아웃백	37.493809	127.149819	스테이크 주문시 10% 할인	1100	2017-03-11	11:00:39
112	27	매드포갈릭	매드포갈릭	37.671847	126.966489	에이드 무료 제공	100	2017-07-21	18:17:28
113	224	교보문고	교보문고	37.582569	127.171362	도서 구매시 10% 할인	700	2017-04-06	19:16:12
114	133	매드포갈릭	매드포갈릭	37.567913	126.957862	에이드 무료 제공	800	2018-01-24	15:26:34
115	216	정형외과	정형외과	37.464094	127.144015	정형외과의료지점	100	2017-01-25	19:53:48
116	15	약국	약국	37.690918	127.024137	황사 마스크 증정(1매)	1000	2016-06-16	15:08:15
117	124	파리바게트	파리바게트	37.590794	127.003114	1000원 이상 10% 할인	300	2017-06-25	12:34:55
118	175	파리바게트	파리바게트	37.462511	127.111095	1000원 이상 10% 할인	1200	2018-02-18	18:29:53
119	31	베스킨라빈스	베스킨라빈스	37.646017	127.181469	무료 사이즈업	500	2017-02-05	21:40:57
120	206	교보문고	교보문고	37.625322	127.119197	도서 구매시 10% 할인	300	2016-11-21	10:22:03
121	249	멘동	멘동	37.712853	127.139636	규동 5% 할인	700	2016-10-17	16:37:06
122	95	닭한마리	닭한마리	37.568687	126.884988	칼국수 사리 무료 리필	600	2016-04-03	10:56:00
123	161	봄봄	봄봄	37.695255	127.068238	음료 주문시 쿠폰 도장 2개 추가	1500	2017-08-15	11:31:30
124	23	아웃백	아웃백	37.442726	127.051494	스테이크 주문시 10% 할인	1400	2016-04-28	16:04:46
125	50	연래춘	연래춘	37.551567	127.149671	현금 결재시 10% 할인	1100	2017-02-28	18:57:56
126	104	연래춘	연래춘	37.576982	126.930605	현금 결재시 10% 할인	1900	2016-05-18	10:41:12
127	151	아웃닭	아웃닭	37.505352	126.983131	치즈스틱 2개 제공	600	2017-03-18	20:41:17
128	196	아웃닭	아웃닭	37.655621	126.95161	치즈스틱 2개 제공	1200	2016-01-09	22:16:35
129	213	리얼후라이	리얼후라이	37.624712	127.00217	크리스피 후라이드 10% 할인	900	2016-03-03	11:55:11
130	4	스시로로	스시로로	37.466241	127.163867	2pcs 무료 제공	200	2017-10-22	12:02:51
131	7	김덕후의곱창조	김덕후의곱창조	37.673029	127.157898	곱창 무한 리필 2,000 할인	1300	2016-11-28	14:46:49
132	28	교보문고	교보문고	37.520451	127.119559	도서 구매시 10% 할인	900	2017-03-17	15:08:26
133	112	파리바게트	파리바게트	37.481394	127.184841	1000원 이상 10% 할인	1200	2018-03-04	11:36:17
134	201	매드포갈릭	매드포갈릭	37.557396	126.916249	에이드 무료 제공	500	2017-11-28	19:34:36
135	254	정형외과	정형외과	37.691298	127.028162	정형외과의료지점	300	2018-03-01	10:49:48
136	284	백다방	백다방	37.484136	126.898117	무료 토핑 추가	1200	2017-05-10	23:03:31
137	260	이비인후과	이비인후과	37.636943	127.002874	코세척 서비스(무료)	1800	2017-01-26	23:15:35
138	97	롯데리아	롯데리아	37.574601	127.153863	롯데리아 음료M 제공	100	2016-05-24	13:37:02
139	249	연래춘	연래춘	37.685798	127.108101	현금 결재시 10% 할인	900	2017-11-07	20:00:02
140	257	이비인후과	이비인후과	37.617851	127.147228	코세척 서비스(무료)	400	2017-05-27	21:25:53
141	42	오쭈	오쭈	37.540988	126.914158	치즈 퐁듀 1회 제공	300	2017-11-23	12:10:58
142	53	매드포갈릭	매드포갈릭	37.689657	127.095409	에이드 무료 제공	1900	2016-01-14	23:46:38
143	112	한신포차	한신포차	37.658985	127.168717	닭발 주문시 주먹밥 증정	600	2017-03-17	16:13:50
144	46	매드포갈릭	매드포갈릭	37.52349	127.025763	에이드 무료 제공	1900	2017-12-30	18:38:36
145	104	원할머니보쌈	원할머니보쌈	37.453361	127.098543	족발 3,000 할인 쿠폰 제공	1000	2016-06-18	19:34:57
146	41	오쭈	오쭈	37.640673	127.156913	치즈 퐁듀 1회 제공	200	2016-07-05	15:21:57
147	81	한신포차	한신포차	37.705921	126.895837	닭발 주문시 주먹밥 증정	700	2016-08-21	10:24:47
148	25	베스킨라빈스	베스킨라빈스	37.628432	127.020732	무료 사이즈업	1000	2018-03-13	23:11:08
149	18	봄봄	봄봄	37.679726	126.897099	음료 주문시 쿠폰 도장 2개 추가	1300	2018-01-05	22:07:45
150	229	봄봄	봄봄	37.680547	126.877982	음료 주문시 쿠폰 도장 2개 추가	600	2016-03-30	16:21:01
151	149	닭한마리	닭한마리	37.489736	126.933964	칼국수 사리 무료 리필	1400	2016-07-01	16:48:44
152	270	파리바게트	파리바게트	37.593304	127.123101	1000원 이상 10% 할인	1400	2017-08-06	23:42:13
153	106	백다방	백다방	37.462948	126.987654	무료 토핑 추가	1000	2018-02-02	21:33:06
154	115	김덕후의곱창조	김덕후의곱창조	37.609401	127.103834	곱창 무한 리필 2,000 할인	1000	2017-10-01	19:05:48
155	158	교보문고	교보문고	37.666943	126.941987	도서 구매시 10% 할인	200	2017-05-29	11:34:56
156	139	쥬씨	쥬씨	37.601435	127.015414	무료 사이즈업	1000	2016-08-30	15:23:26
157	206	꾼	꾼	37.558242	127.062432	소주 2,000 쿠폰	1800	2017-11-26	16:42:09
158	256	엔젤리너스	엔젤리너스	37.600989	126.860692	제조 음료 주문시 10% 할인	1000	2016-03-02	16:38:06
159	46	연래춘	연래춘	37.475073	126.865805	현금 결재시 10% 할인	900	2016-01-21	15:13:34
160	161	원할머니보쌈	원할머니보쌈	37.685255	127.094962	족발 3,000 할인 쿠폰 제공	1200	2017-07-07	18:26:57
161	273	홍콩반점	홍콩반점	37.446862	127.133896	찹쌀 탕수육 10% 할인	400	2017-10-22	10:34:20
162	145	리얼후라이	리얼후라이	37.606321	126.858622	크리스피 후라이드 10% 할인	800	2018-01-08	16:05:56
163	76	봄봄	봄봄	37.512194	127.130568	음료 주문시 쿠폰 도장 2개 추가	1800	2017-02-17	19:42:28
164	20	스시로로	스시로로	37.714075	127.116716	2pcs 무료 제공	1000	2017-05-30	12:24:17
165	86	봄봄	봄봄	37.560097	127.141871	음료 주문시 쿠폰 도장 2개 추가	1600	2017-02-28	23:32:33
166	247	백다방	백다방	37.528092	127.136083	무료 토핑 추가	1500	2016-02-28	19:39:07
167	60	구이가	구이가	37.543237	126.971873	한판 주문시 사이다 제공	2000	2016-12-12	21:51:05
168	52	봄봄	봄봄	37.551117	126.933467	음료 주문시 쿠폰 도장 2개 추가	1300	2017-12-12	16:27:12
169	173	꾼	꾼	37.597846	127.19813	소주 2,000 쿠폰	1500	2017-05-11	14:14:43
170	113	동경야네	동경야네	37.522473	127.082422	사케동 10% 할인	1700	2018-02-10	21:22:27
171	204	약국	약국	37.569183	126.906288	황사 마스크 증정(1매)	1900	2018-03-14	16:06:08
172	194	동경야네	동경야네	37.472765	126.873295	사케동 10% 할인	1400	2016-05-23	10:34:07
173	65	홍콩반점	홍콩반점	37.669519	127.108849	찹쌀 탕수육 10% 할인	1000	2018-01-09	09:55:27
174	162	한신포차	한신포차	37.600522	127.074484	닭발 주문시 주먹밥 증정	1800	2016-08-12	15:11:20
175	254	스시로로	스시로로	37.512165	126.946712	2pcs 무료 제공	1700	2018-01-04	12:21:29
176	15	쥬씨	쥬씨	37.522544	127.026656	무료 사이즈업	400	2018-01-10	18:07:00
177	293	베스킨라빈스	베스킨라빈스	37.649115	126.943827	무료 사이즈업	600	2017-12-18	12:25:52
178	264	약국	약국	37.543851	127.007127	황사 마스크 증정(1매)	500	2016-12-13	11:14:08
179	251	교보문고	교보문고	37.613447	127.191843	도서 구매시 10% 할인	1500	2016-12-24	18:21:14
180	113	연래춘	연래춘	37.555753	127.053734	현금 결재시 10% 할인	1900	2017-04-22	10:56:16
181	46	꾼	꾼	37.451191	127.17436	소주 2,000 쿠폰	600	2017-04-28	14:26:34
182	58	아웃닭	아웃닭	37.551575	126.86399	치즈스틱 2개 제공	600	2016-12-19	10:32:17
183	24	아웃백	아웃백	37.493809	127.149819	스테이크 주문시 10% 할인	100	2017-03-11	11:00:39
184	91	약국	약국	37.526141	127.033077	황사 마스크 증정(1매)	1900	2017-09-07	17:54:18
185	103	약국	약국	37.691775	127.104436	황사 마스크 증정(1매)	1500	2017-07-28	19:58:20
186	238	꾼	꾼	37.567524	127.128235	소주 2,000 쿠폰	1200	2016-03-20	19:13:31
187	270	멘동	멘동	37.652553	127.130933	규동 5% 할인	1000	2016-06-01	13:18:12
188	261	구이가	구이가	37.656826	127.037414	한판 주문시 사이다 제공	100	2016-09-17	20:40:03
189	14	약국	약국	37.462045	127.033037	황사 마스크 증정(1매)	300	2016-02-12	21:34:52
190	230	한신포차	한신포차	37.552224	127.087789	닭발 주문시 주먹밥 증정	800	2017-08-03	22:15:36
191	231	스시로로	스시로로	37.510176	126.877684	2pcs 무료 제공	900	2018-01-19	23:24:17
192	223	오쭈	오쭈	37.473422	126.948879	치즈 퐁듀 1회 제공	1000	2016-03-07	22:03:16
193	7	멘동	멘동	37.601547	126.872893	규동 5% 할인	400	2017-02-05	22:06:38
194	186	오쭈	오쭈	37.62935	126.956125	치즈 퐁듀 1회 제공	1500	2017-10-23	09:53:36
195	237	버거킹	버거킹	37.702352	126.944815	와퍼주문시 5% 할인	1100	2017-04-20	14:54:30
196	99	이디야커피	이디야커피	37.705575	126.966637	스마트 오더 사용시 10% 할인	400	2017-04-19	17:34:36
197	248	홍콩반점	홍콩반점	37.554009	127.121891	찹쌀 탕수육 10% 할인	600	2017-09-24	20:30:26
198	196	베스킨라빈스	베스킨라빈스	37.493237	127.100667	무료 사이즈업	200	2016-09-27	12:47:55
199	155	파리바게트	파리바게트	37.513776	127.116472	1000원 이상 10% 할인	300	2017-06-28	10:49:27
200	2	오쭈	오쭈	37.621328	127.108005	치즈 퐁듀 1회 제공	1700	2016-11-07	18:32:52
201	292	멘동	멘동	37.466881	127.054459	규동 5% 할인	700	2016-06-11	10:52:06
202	12	리얼후라이	리얼후라이	37.574424	126.987569	크리스피 후라이드 10% 할인	1200	2016-02-18	09:59:36
203	248	매드포갈릭	매드포갈릭	37.449379	126.911737	에이드 무료 제공	1900	2016-03-04	14:17:31
204	17	쥬씨	쥬씨	37.672839	127.009536	무료 사이즈업	1400	2017-09-09	12:53:53
205	10	리얼후라이	리얼후라이	37.595877	127.165642	크리스피 후라이드 10% 할인	600	2017-06-27	12:58:47
206	242	약국	약국	37.453223	126.875732	황사 마스크 증정(1매)	500	2016-07-13	09:16:07
207	13	약국	약국	37.609576	127.139717	황사 마스크 증정(1매)	1800	2016-12-06	17:56:43
208	59	오쭈	오쭈	37.566064	127.004113	치즈 퐁듀 1회 제공	1000	2016-01-06	23:11:08
209	7	롯데리아	롯데리아	37.61991	126.879201	롯데리아 음료M 제공	1100	2016-10-10	19:25:52
210	286	파리바게트	파리바게트	37.659478	126.972064	1000원 이상 10% 할인	1600	2017-10-23	15:55:50
211	37	이디야커피	이디야커피	37.486184	126.97501	스마트 오더 사용시 10% 할인	1900	2017-07-20	15:46:00
212	86	원할머니보쌈	원할머니보쌈	37.571863	126.919087	족발 3,000 할인 쿠폰 제공	200	2016-09-03	16:19:35
213	297	한신포차	한신포차	37.51657	127.07509	닭발 주문시 주먹밥 증정	1500	2016-03-24	13:00:35
214	262	동경야네	동경야네	37.509119	126.893844	사케동 10% 할인	800	2017-09-07	14:27:55
215	246	아웃닭	아웃닭	37.603969	127.119685	치즈스틱 2개 제공	600	2017-11-26	18:13:04
216	105	아웃백	아웃백	37.613683	126.932909	스테이크 주문시 10% 할인	1000	2017-08-19	18:37:51
217	181	반디앤루니스	반디앤루니스	37.46263	127.168081	도서 구매시 5% 할인	1500	2016-07-16	10:50:23
218	286	파리바게트	파리바게트	37.643116	126.941831	1000원 이상 10% 할인	1800	2017-01-04	11:43:19
219	277	약국	약국	37.499905	126.871301	황사 마스크 증정(1매)	1100	2017-01-15	17:01:59
220	173	김덕후의곱창조	김덕후의곱창조	37.676964	126.874241	곱창 무한 리필 2,000 할인	1300	2016-08-28	10:35:02
221	56	뚜레쥬르	뚜레쥬르	37.648057	127.085637	2000원 이상 5% 할인	500	2016-06-06	21:54:54
222	259	정형외과	정형외과	37.638378	126.870631	정형외과의료지점	100	2016-09-12	16:38:28
223	297	정형외과	정형외과	37.520264	127.038678	정형외과의료지점	500	2018-03-02	17:59:56
224	152	아웃백	아웃백	37.644631	126.888975	스테이크 주문시 10% 할인	600	2017-08-05	18:31:16
225	111	정형외과	정형외과	37.693597	127.004025	정형외과의료지점	100	2016-09-08	23:39:28
226	200	스시로로	스시로로	37.708221	127.009187	2pcs 무료 제공	800	2017-04-07	13:28:22
227	44	아웃백	아웃백	37.490663	127.027426	스테이크 주문시 10% 할인	1200	2017-11-29	13:45:30
228	133	이비인후과	이비인후과	37.585845	126.947423	코세척 서비스(무료)	200	2018-03-14	12:31:49
229	89	스시로로	스시로로	37.632316	127.023011	2pcs 무료 제공	1200	2017-07-08	20:12:05
230	186	베스킨라빈스	베스킨라빈스	37.606585	127.120699	무료 사이즈업	1900	2018-01-21	21:22:45
231	5	버거킹	버거킹	37.6964	126.896194	와퍼주문시 5% 할인	1100	2017-09-21	21:27:55
232	277	꾼	꾼	37.681263	126.879601	소주 2,000 쿠폰	1400	2016-10-14	19:58:57
233	189	김덕후의곱창조	김덕후의곱창조	37.497231	127.031882	곱창 무한 리필 2,000 할인	1800	2016-02-01	23:18:29
234	6	베스킨라빈스	베스킨라빈스	37.532591	126.937559	무료 사이즈업	200	2016-06-08	11:27:56
235	177	교보문고	교보문고	37.627624	127.191749	도서 구매시 10% 할인	1000	2016-10-09	17:17:29
236	184	약국	약국	37.505165	127.166862	황사 마스크 증정(1매)	1200	2017-04-08	17:04:29
237	248	꾼	꾼	37.546574	127.10027	소주 2,000 쿠폰	1900	2017-10-26	15:03:04
238	161	원할머니보쌈	원할머니보쌈	37.685255	127.094962	족발 3,000 할인 쿠폰 제공	900	2017-07-07	18:26:57
239	211	쥬씨	쥬씨	37.619554	126.951589	무료 사이즈업	1900	2016-05-29	14:32:20
240	179	약국	약국	37.482956	126.91819	황사 마스크 증정(1매)	1400	2018-01-09	19:02:56
241	20	롯데리아	롯데리아	37.592038	126.875486	롯데리아 음료M 제공	100	2017-04-21	21:35:20
242	41	백다방	백다방	37.500786	127.093697	무료 토핑 추가	900	2016-09-30	09:14:13
243	285	반디앤루니스	반디앤루니스	37.553997	127.065756	도서 구매시 5% 할인	900	2018-02-04	15:26:55
244	69	아웃닭	아웃닭	37.528662	127.053633	치즈스틱 2개 제공	1300	2018-03-06	22:48:27
245	173	스시로로	스시로로	37.506849	126.851324	2pcs 무료 제공	800	2016-02-14	17:57:49
246	266	쥬씨	쥬씨	37.491059	127.152277	무료 사이즈업	400	2017-11-14	21:09:38
247	293	오쭈	오쭈	37.485748	127.183177	치즈 퐁듀 1회 제공	1400	2016-10-22	20:14:15
248	97	스시진	스시진	37.698285	127.177609	2pcs 무료 제공	200	2017-10-02	13:17:12
249	119	원할머니보쌈	원할머니보쌈	37.441685	127.040015	족발 3,000 할인 쿠폰 제공	1500	2016-09-27	22:10:32
250	134	약국	약국	37.486343	127.003691	황사 마스크 증정(1매)	1600	2017-12-22	10:59:17
251	93	봄봄	봄봄	37.521338	126.866104	음료 주문시 쿠폰 도장 2개 추가	1200	2016-10-03	11:42:16
252	229	닭한마리	닭한마리	37.716284	126.975999	칼국수 사리 무료 리필	100	2017-09-03	13:51:21
253	252	베스킨라빈스	베스킨라빈스	37.706262	126.963542	무료 사이즈업	300	2016-02-14	18:58:24
