gift_key,payment_idx,card_key,gift_title,gift_place,gift_latitude,gift_longitude,gift_content,gift_cost,gift_date,gift_time
19,1837,28,교보문고,교보문고,37.545837,126.862357,도서 구매시 10% 할인,1900,2017-10-03,18:07:05
20,13838,149,베스킨라빈스,베스킨라빈스,37.649279,127.006171,무료 사이즈업,1600,2017-08-08,21:16:50
21,7103,29,이비인후과,이비인후과,37.649627,127.032621,코세척 서비스(무료),1700,2017-06-08,09:45:57
22,6747,124,닭한마리,닭한마리,37.4569,126.997261,칼국수 사리 무료 리필,200,2017-11-24,15:15:07
23,6328,292,엔젤리너스,엔젤리너스,37.628987,126.863095,제조 음료 주문시 10% 할인,800,2016-11-17,16:33:56
24,12982,11,한신포차,한신포차,37.504067,126.928986,닭발 주문시 주먹밥 증정,1400,2016-08-20,13:35:55
25,1592,234,원할머니보쌈,원할머니보쌈,37.443118,126.90553,"족발 3,000 할인 쿠폰 제공",1100,2017-07-20,23:08:42
26,9482,92,닭한마리,닭한마리,37.63938,126.951134,칼국수 사리 무료 리필,1800,2016-07-01,12:00:26
27,12142,2,이비인후과,이비인후과,37.483436,126.996573,코세척 서비스(무료),200,2016-08-03,13:20:57
28,3729,49,연래춘,연래춘,37.699214,126.890521,현금 결재시 10% 할인,2000,2017-12-12,13:57:54
29,8261,225,파리바게트,파리바게트,37.544477,126.980797,1000원 이상 10% 할인,500,2016-03-18,10:20:40
30,9812,231,이비인후과,이비인후과,37.687983,127.137712,코세척 서비스(무료),1700,2016-11-10,16:33:29
31,11597,1,정형외과,정형외과,37.571036,127.048997,정형외과의료지점,1800,2016-09-03,12:07:57
32,5364,114,오쭈,오쭈,37.471037,127.03678,치즈 퐁듀 1회 제공,1600,2017-06-25,09:23:58
33,6065,117,파리바게트,파리바게트,37.519445,126.991468,1000원 이상 10% 할인,1100,2016-08-06,09:21:20
34,4989,283,반디앤루니스,반디앤루니스,37.643475,127.00846,도서 구매시 5% 할인,1400,2017-04-02,17:27:20
35,9117,248,이비인후과,이비인후과,37.548113,126.933198,코세척 서비스(무료),800,2016-04-07,20:16:17
36,13145,297,한신포차,한신포차,37.486554,127.186904,닭발 주문시 주먹밥 증정,1100,2016-10-26,14:01:41
37,9324,281,꾼,꾼,37.550781,127.051098,"소주 2,000 쿠폰",600,2017-10-18,19:09:55
38,2656,249,엔젤리너스,엔젤리너스,37.697734,126.953733,제조 음료 주문시 10% 할인,1700,2017-04-17,23:12:39
39,12093,3,한신포차,한신포차,37.535702,127.008952,닭발 주문시 주먹밥 증정,1000,2017-09-07,12:08:15
40,9230,272,홍콩반점,홍콩반점,37.715412,127.121291,찹쌀 탕수육 10% 할인,1200,2016-09-13,23:44:39
41,7422,85,원할머니보쌈,원할머니보쌈,37.484881,127.14381,"족발 3,000 할인 쿠폰 제공",1200,2018-01-14,23:56:07
42,9796,103,이디야커피,이디야커피,37.573372,126.876761,스마트 오더 사용시 10% 할인,1100,2016-12-26,15:21:31
43,1480,274,오쭈,오쭈,37.613052,126.872292,치즈 퐁듀 1회 제공,1800,2018-01-05,10:20:34
44,9397,109,백다방,백다방,37.578577,126.873564,무료 토핑 추가,100,2017-07-21,10:35:21
45,11524,278,봄봄,봄봄,37.714026,127.124433,음료 주문시 쿠폰 도장 2개 추가,2000,2017-08-31,20:25:26
46,5608,235,쥬씨,쥬씨,37.4899,126.876875,무료 사이즈업,700,2016-02-18,15:30:30
47,7068,131,엔젤리너스,엔젤리너스,37.699815,127.006334,제조 음료 주문시 10% 할인,1800,2017-05-11,15:08:12
48,4824,47,백다방,백다방,37.606258,127.130713,무료 토핑 추가,1200,2018-01-17,23:45:13
49,104,190,닭한마리,닭한마리,37.49394,126.872845,칼국수 사리 무료 리필,200,2017-07-06,23:36:31
50,6660,4,리얼후라이,리얼후라이,37.716807,126.905802,크리스피 후라이드 10% 할인,1600,2016-12-21,21:42:59
51,8542,122,반디앤루니스,반디앤루니스,37.533362,127.087747,도서 구매시 5% 할인,900,2018-01-07,10:38:12
52,1790,99,연래춘,연래춘,37.479723,126.897135,현금 결재시 10% 할인,400,2018-02-20,16:29:25
53,4415,175,오쭈,오쭈,37.553644,126.9893,치즈 퐁듀 1회 제공,1100,2017-04-07,18:03:15
54,1309,186,봄봄,봄봄,37.472486,126.953951,음료 주문시 쿠폰 도장 2개 추가,1700,2018-03-31,20:14:10
55,4175,164,봄봄,봄봄,37.668878,126.888591,음료 주문시 쿠폰 도장 2개 추가,1200,2017-12-23,09:40:24
56,5326,235,스시로로,스시로로,37.70731,127.196877,2pcs 무료 제공,2000,2018-01-18,16:48:29
57,6704,81,쥬씨,쥬씨,37.440014,126.913401,무료 사이즈업,100,2017-01-03,20:00:01
58,8235,165,베스킨라빈스,베스킨라빈스,37.488023,127.098277,무료 사이즈업,900,2016-09-06,16:23:55
59,13219,186,연래춘,연래춘,37.68053,126.973173,현금 결재시 10% 할인,1900,2016-10-14,13:36:49
60,13636,292,정형외과,정형외과,37.648737,127.196517,정형외과의료지점,1900,2016-07-20,10:05:51
61,9012,93,뚜레쥬르,뚜레쥬르,37.531623,127.079425,2000원 이상 5% 할인,200,2016-01-12,10:07:47
62,1331,160,꾼,꾼,37.497498,127.05755,"소주 2,000 쿠폰",400,2018-03-27,15:02:17
63,13176,267,스시진,스시진,37.472531,127.034,2pcs 무료 제공,100,2017-09-14,17:52:07
64,2405,74,꾼,꾼,37.450812,126.905532,"소주 2,000 쿠폰",200,2017-11-29,20:16:45
65,4785,162,이디야커피,이디야커피,37.57678,127.005311,스마트 오더 사용시 10% 할인,1400,2018-01-19,15:35:17
66,13970,97,홍콩반점,홍콩반점,37.563094,127.194984,찹쌀 탕수육 10% 할인,1700,2016-09-05,12:13:59
67,10974,64,반디앤루니스,반디앤루니스,37.448478,127.05715,도서 구매시 5% 할인,1300,2017-03-15,23:00:46
68,7718,134,김덕후의곱창조,김덕후의곱창조,37.65348,126.902424,"곱창 무한 리필 2,000 할인",1100,2017-05-24,11:26:02
69,7756,57,이디야커피,이디야커피,37.617872,126.925699,스마트 오더 사용시 10% 할인,900,2016-04-01,09:29:41
70,9885,221,백다방,백다방,37.574117,127.041802,무료 토핑 추가,200,2016-05-14,12:57:18
71,14127,68,파리바게트,파리바게트,37.622093,126.993203,1000원 이상 10% 할인,1000,2016-09-07,23:51:26
72,14088,88,엔젤리너스,엔젤리너스,37.59002,126.964979,제조 음료 주문시 10% 할인,1300,2017-11-10,14:06:28
73,1941,18,뚜레쥬르,뚜레쥬르,37.585239,127.074233,2000원 이상 5% 할인,100,2016-04-18,21:06:46
74,8739,262,스시로로,스시로로,37.492772,126.968694,2pcs 무료 제공,1200,2017-06-01,17:55:52
75,1577,190,스시진,스시진,37.548197,127.0718,2pcs 무료 제공,1100,2017-01-09,17:30:18
76,4043,81,반디앤루니스,반디앤루니스,37.494299,126.924134,도서 구매시 5% 할인,1800,2017-02-09,11:56:38
77,767,205,교보문고,교보문고,37.666876,127.078368,도서 구매시 10% 할인,1100,2016-01-04,18:01:55
78,11778,103,롯데리아,롯데리아,37.561434,126.897028,롯데리아 음료M 제공,100,2017-07-21,18:36:02
79,2498,191,베스킨라빈스,베스킨라빈스,37.654946,126.947234,무료 사이즈업,100,2017-09-22,20:33:52
80,5616,111,파리바게트,파리바게트,37.492499,126.942466,1000원 이상 10% 할인,500,2017-09-11,18:56:12
81,3009,298,구이가,구이가,37.66165,127.180587,한판 주문시 사이다 제공,900,2018-03-31,12:04:29
82,8861,16,봄봄,봄봄,37.456234,127.097499,음료 주문시 쿠폰 도장 2개 추가,1800,2018-01-16,21:37:11
83,5253,66,꾼,꾼,37.531303,127.135765,"소주 2,000 쿠폰",1300,2016-06-02,16:26:08
84,605,279,아웃닭,아웃닭,37.473056,127.087555,치즈스틱 2개 제공,800,2016-06-11,16:20:53
85,11417,193,뚜레쥬르,뚜레쥬르,37.625071,127.059569,2000원 이상 5% 할인,1200,2017-10-17,21:55:54
86,8697,239,정형외과,정형외과,37.635995,127.089591,정형외과의료지점,1100,2016-12-28,20:15:03
87,4073,100,매드포갈릭,매드포갈릭,37.478233,127.08117,에이드 무료 제공,100,2017-12-22,10:37:23
88,3103,158,아웃백,아웃백,37.586233,127.122207,스테이크 주문시 10% 할인,1300,2017-12-07,20:37:13
89,4279,186,약국,약국,37.457292,127.141289,황사 마스크 증정(1매),300,2016-06-05,14:34:01
90,8515,70,스시진,스시진,37.635548,127.191265,2pcs 무료 제공,600,2017-11-01,14:55:49
91,7302,278,베스킨라빈스,베스킨라빈스,37.566835,126.948725,무료 사이즈업,1300,2016-09-11,18:11:30
92,11904,167,파리바게트,파리바게트,37.560005,126.852946,1000원 이상 10% 할인,1300,2017-10-07,20:46:03
93,14515,177,버거킹,버거킹,37.611199,126.879832,와퍼주문시 5% 할인,1700,2016-04-25,11:13:48
94,7457,236,멘동,멘동,37.683115,127.019593,규동 5% 할인,300,2017-04-16,10:22:51
95,12044,132,닭한마리,닭한마리,37.549005,126.857285,칼국수 사리 무료 리필,1300,2016-02-09,15:07:20
96,8320,148,닭한마리,닭한마리,37.681968,127.008887,칼국수 사리 무료 리필,200,2016-09-03,18:17:50
97,10230,105,한신포차,한신포차,37.704583,126.948128,닭발 주문시 주먹밥 증정,600,2017-09-16,14:21:37
98,4751,8,베스킨라빈스,베스킨라빈스,37.716358,127.192415,무료 사이즈업,1500,2016-03-14,12:43:17
99,9990,142,한신포차,한신포차,37.461763,127.180549,닭발 주문시 주먹밥 증정,600,2017-10-01,18:34:30
100,435,22,꾼,꾼,37.545783,127.13426,"소주 2,000 쿠폰",1500,2017-01-12,13:48:07
101,7371,224,약국,약국,37.56833,127.103705,황사 마스크 증정(1매),700,2017-09-14,13:39:54
102,13424,137,베스킨라빈스,베스킨라빈스,37.680611,127.053463,무료 사이즈업,1200,2016-08-17,20:17:45
103,11473,10,스시진,스시진,37.656797,127.008445,2pcs 무료 제공,2000,2017-08-07,12:15:31
104,8027,107,구이가,구이가,37.538442,127.148058,한판 주문시 사이다 제공,900,2018-03-05,09:46:50
105,221,10,한신포차,한신포차,37.667376,126.925826,닭발 주문시 주먹밥 증정,900,2018-01-20,13:32:08
106,14065,199,닭한마리,닭한마리,37.640574,127.116741,칼국수 사리 무료 리필,1300,2016-01-24,22:43:10
107,1456,197,약국,약국,37.495009,126.902848,황사 마스크 증정(1매),800,2017-08-02,18:39:13
108,2817,71,뚜레쥬르,뚜레쥬르,37.673202,127.112506,2000원 이상 5% 할인,800,2016-11-22,22:59:25
109,8990,170,반디앤루니스,반디앤루니스,37.460115,127.183679,도서 구매시 5% 할인,1500,2016-06-02,16:22:01
110,6144,257,아웃백,아웃백,37.508249,126.890997,스테이크 주문시 10% 할인,600,2017-09-26,23:03:51
111,10213,24,아웃백,아웃백,37.493809,127.149819,스테이크 주문시 10% 할인,1400,2017-03-11,11:00:39
112,13247,27,매드포갈릭,매드포갈릭,37.671847,126.966489,에이드 무료 제공,1700,2017-07-21,18:17:28
113,13078,224,교보문고,교보문고,37.582569,127.171362,도서 구매시 10% 할인,200,2017-04-06,19:16:12
114,11584,133,매드포갈릭,매드포갈릭,37.567913,126.957862,에이드 무료 제공,300,2018-01-24,15:26:34
115,1724,216,정형외과,정형외과,37.464094,127.144015,정형외과의료지점,1800,2017-01-25,19:53:48
116,2454,15,약국,약국,37.690918,127.024137,황사 마스크 증정(1매),1700,2016-06-16,15:08:15
117,1824,124,파리바게트,파리바게트,37.590794,127.003114,1000원 이상 10% 할인,1700,2017-06-25,12:34:55
118,4942,175,파리바게트,파리바게트,37.462511,127.111095,1000원 이상 10% 할인,1500,2018-02-18,18:29:53
119,788,31,베스킨라빈스,베스킨라빈스,37.646017,127.181469,무료 사이즈업,800,2017-02-05,21:40:57
120,7382,206,교보문고,교보문고,37.625322,127.119197,도서 구매시 10% 할인,600,2016-11-21,10:22:03
121,9475,249,멘동,멘동,37.712853,127.139636,규동 5% 할인,100,2016-10-17,16:37:06
122,5978,95,닭한마리,닭한마리,37.568687,126.884988,칼국수 사리 무료 리필,1100,2016-04-03,10:56:00
123,10107,161,봄봄,봄봄,37.695255,127.068238,음료 주문시 쿠폰 도장 2개 추가,1400,2017-08-15,11:31:30
124,9283,23,아웃백,아웃백,37.442726,127.051494,스테이크 주문시 10% 할인,1700,2016-04-28,16:04:46
125,9478,50,연래춘,연래춘,37.551567,127.149671,현금 결재시 10% 할인,1900,2017-02-28,18:57:56
126,3169,104,연래춘,연래춘,37.576982,126.930605,현금 결재시 10% 할인,1900,2016-05-18,10:41:12
127,380,151,아웃닭,아웃닭,37.505352,126.983131,치즈스틱 2개 제공,1200,2017-03-18,20:41:17
128,13175,196,아웃닭,아웃닭,37.655621,126.95161,치즈스틱 2개 제공,400,2016-01-09,22:16:35
129,593,213,리얼후라이,리얼후라이,37.624712,127.00217,크리스피 후라이드 10% 할인,1800,2016-03-03,11:55:11
130,2332,4,스시로로,스시로로,37.466241,127.163867,2pcs 무료 제공,200,2017-10-22,12:02:51
131,10152,7,김덕후의곱창조,김덕후의곱창조,37.673029,127.157898,"곱창 무한 리필 2,000 할인",200,2016-11-28,14:46:49
132,12830,28,교보문고,교보문고,37.520451,127.119559,도서 구매시 10% 할인,1600,2017-03-17,15:08:26
133,8018,112,파리바게트,파리바게트,37.481394,127.184841,1000원 이상 10% 할인,1200,2018-03-04,11:36:17
134,11762,201,매드포갈릭,매드포갈릭,37.557396,126.916249,에이드 무료 제공,200,2017-11-28,19:34:36
135,4582,254,정형외과,정형외과,37.691298,127.028162,정형외과의료지점,1100,2018-03-01,10:49:48
136,2033,284,백다방,백다방,37.484136,126.898117,무료 토핑 추가,300,2017-05-10,23:03:31
137,359,260,이비인후과,이비인후과,37.636943,127.002874,코세척 서비스(무료),500,2017-01-26,23:15:35
138,10117,97,롯데리아,롯데리아,37.574601,127.153863,롯데리아 음료M 제공,1800,2016-05-24,13:37:02
139,5404,249,연래춘,연래춘,37.685798,127.108101,현금 결재시 10% 할인,700,2017-11-07,20:00:02
140,7013,257,이비인후과,이비인후과,37.617851,127.147228,코세척 서비스(무료),900,2017-05-27,21:25:53
141,4738,42,오쭈,오쭈,37.540988,126.914158,치즈 퐁듀 1회 제공,700,2017-11-23,12:10:58
142,2679,53,매드포갈릭,매드포갈릭,37.689657,127.095409,에이드 무료 제공,1500,2016-01-14,23:46:38
143,4394,112,한신포차,한신포차,37.658985,127.168717,닭발 주문시 주먹밥 증정,800,2017-03-17,16:13:50
144,12894,46,매드포갈릭,매드포갈릭,37.52349,127.025763,에이드 무료 제공,1800,2017-12-30,18:38:36
145,3588,104,원할머니보쌈,원할머니보쌈,37.453361,127.098543,"족발 3,000 할인 쿠폰 제공",1500,2016-06-18,19:34:57
146,3075,41,오쭈,오쭈,37.640673,127.156913,치즈 퐁듀 1회 제공,400,2016-07-05,15:21:57
147,7620,81,한신포차,한신포차,37.705921,126.895837,닭발 주문시 주먹밥 증정,600,2016-08-21,10:24:47
148,13687,25,베스킨라빈스,베스킨라빈스,37.628432,127.020732,무료 사이즈업,1900,2018-03-13,23:11:08
149,2737,18,봄봄,봄봄,37.679726,126.897099,음료 주문시 쿠폰 도장 2개 추가,1000,2018-01-05,22:07:45
150,4819,229,봄봄,봄봄,37.680547,126.877982,음료 주문시 쿠폰 도장 2개 추가,1400,2016-03-30,16:21:01
151,2877,149,닭한마리,닭한마리,37.489736,126.933964,칼국수 사리 무료 리필,400,2016-07-01,16:48:44
152,5543,270,파리바게트,파리바게트,37.593304,127.123101,1000원 이상 10% 할인,1100,2017-08-06,23:42:13
153,6816,106,백다방,백다방,37.462948,126.987654,무료 토핑 추가,1100,2018-02-02,21:33:06
154,5654,115,김덕후의곱창조,김덕후의곱창조,37.609401,127.103834,"곱창 무한 리필 2,000 할인",900,2017-10-01,19:05:48
155,7016,158,교보문고,교보문고,37.666943,126.941987,도서 구매시 10% 할인,100,2017-05-29,11:34:56
156,12556,139,쥬씨,쥬씨,37.601435,127.015414,무료 사이즈업,300,2016-08-30,15:23:26
157,13649,206,꾼,꾼,37.558242,127.062432,"소주 2,000 쿠폰",400,2017-11-26,16:42:09
158,13002,256,엔젤리너스,엔젤리너스,37.600989,126.860692,제조 음료 주문시 10% 할인,1700,2016-03-02,16:38:06
159,307,46,연래춘,연래춘,37.475073,126.865805,현금 결재시 10% 할인,300,2016-01-21,15:13:34
160,14566,161,원할머니보쌈,원할머니보쌈,37.685255,127.094962,"족발 3,000 할인 쿠폰 제공",2000,2017-07-07,18:26:57
161,8815,273,홍콩반점,홍콩반점,37.446862,127.133896,찹쌀 탕수육 10% 할인,1500,2017-10-22,10:34:20
162,1745,145,리얼후라이,리얼후라이,37.606321,126.858622,크리스피 후라이드 10% 할인,900,2018-01-08,16:05:56
163,14060,76,봄봄,봄봄,37.512194,127.130568,음료 주문시 쿠폰 도장 2개 추가,1700,2017-02-17,19:42:28
164,9553,20,스시로로,스시로로,37.714075,127.116716,2pcs 무료 제공,2000,2017-05-30,12:24:17
165,3936,86,봄봄,봄봄,37.560097,127.141871,음료 주문시 쿠폰 도장 2개 추가,1700,2017-02-28,23:32:33
166,10434,247,백다방,백다방,37.528092,127.136083,무료 토핑 추가,1000,2016-02-28,19:39:07
167,7007,60,구이가,구이가,37.543237,126.971873,한판 주문시 사이다 제공,1600,2016-12-12,21:51:05
168,5214,52,봄봄,봄봄,37.551117,126.933467,음료 주문시 쿠폰 도장 2개 추가,600,2017-12-12,16:27:12
169,4203,173,꾼,꾼,37.597846,127.19813,"소주 2,000 쿠폰",300,2017-05-11,14:14:43
170,10251,113,동경야네,동경야네,37.522473,127.082422,사케동 10% 할인,200,2018-02-10,21:22:27
171,8904,204,약국,약국,37.569183,126.906288,황사 마스크 증정(1매),1700,2018-03-14,16:06:08
172,8228,194,동경야네,동경야네,37.472765,126.873295,사케동 10% 할인,2000,2016-05-23,10:34:07
173,4653,65,홍콩반점,홍콩반점,37.669519,127.108849,찹쌀 탕수육 10% 할인,1300,2018-01-09,09:55:27
174,1467,162,한신포차,한신포차,37.600522,127.074484,닭발 주문시 주먹밥 증정,400,2016-08-12,15:11:20
175,8083,254,스시로로,스시로로,37.512165,126.946712,2pcs 무료 제공,600,2018-01-04,12:21:29
176,10320,15,쥬씨,쥬씨,37.522544,127.026656,무료 사이즈업,300,2018-01-10,18:07:00
177,2682,293,베스킨라빈스,베스킨라빈스,37.649115,126.943827,무료 사이즈업,400,2017-12-18,12:25:52
178,4849,264,약국,약국,37.543851,127.007127,황사 마스크 증정(1매),900,2016-12-13,11:14:08
179,7786,251,교보문고,교보문고,37.613447,127.191843,도서 구매시 10% 할인,400,2016-12-24,18:21:14
180,3962,113,연래춘,연래춘,37.555753,127.053734,현금 결재시 10% 할인,700,2017-04-22,10:56:16
181,13588,46,꾼,꾼,37.451191,127.17436,"소주 2,000 쿠폰",1600,2017-04-28,14:26:34
182,12517,58,아웃닭,아웃닭,37.551575,126.86399,치즈스틱 2개 제공,1000,2016-12-19,10:32:17
183,10213,24,아웃백,아웃백,37.493809,127.149819,스테이크 주문시 10% 할인,1400,2017-03-11,11:00:39
184,1106,91,약국,약국,37.526141,127.033077,황사 마스크 증정(1매),500,2017-09-07,17:54:18
185,9733,103,약국,약국,37.691775,127.104436,황사 마스크 증정(1매),600,2017-07-28,19:58:20
186,13669,238,꾼,꾼,37.567524,127.128235,"소주 2,000 쿠폰",1400,2016-03-20,19:13:31
187,7323,270,멘동,멘동,37.652553,127.130933,규동 5% 할인,900,2016-06-01,13:18:12
188,12048,261,구이가,구이가,37.656826,127.037414,한판 주문시 사이다 제공,200,2016-09-17,20:40:03
189,6145,14,약국,약국,37.462045,127.033037,황사 마스크 증정(1매),100,2016-02-12,21:34:52
190,9806,230,한신포차,한신포차,37.552224,127.087789,닭발 주문시 주먹밥 증정,1300,2017-08-03,22:15:36
191,7216,231,스시로로,스시로로,37.510176,126.877684,2pcs 무료 제공,1000,2018-01-19,23:24:17
192,10766,223,오쭈,오쭈,37.473422,126.948879,치즈 퐁듀 1회 제공,2000,2016-03-07,22:03:16
193,6713,7,멘동,멘동,37.601547,126.872893,규동 5% 할인,500,2017-02-05,22:06:38
194,4060,186,오쭈,오쭈,37.62935,126.956125,치즈 퐁듀 1회 제공,900,2017-10-23,09:53:36
195,12732,237,버거킹,버거킹,37.702352,126.944815,와퍼주문시 5% 할인,1600,2017-04-20,14:54:30
196,4749,99,이디야커피,이디야커피,37.705575,126.966637,스마트 오더 사용시 10% 할인,1900,2017-04-19,17:34:36
197,4102,248,홍콩반점,홍콩반점,37.554009,127.121891,찹쌀 탕수육 10% 할인,1500,2017-09-24,20:30:26
198,6312,196,베스킨라빈스,베스킨라빈스,37.493237,127.100667,무료 사이즈업,900,2016-09-27,12:47:55
199,4198,155,파리바게트,파리바게트,37.513776,127.116472,1000원 이상 10% 할인,1700,2017-06-28,10:49:27
200,13131,2,오쭈,오쭈,37.621328,127.108005,치즈 퐁듀 1회 제공,1900,2016-11-07,18:32:52
201,7997,292,멘동,멘동,37.466881,127.054459,규동 5% 할인,1200,2016-06-11,10:52:06
202,13258,12,리얼후라이,리얼후라이,37.574424,126.987569,크리스피 후라이드 10% 할인,1500,2016-02-18,09:59:36
203,9184,248,매드포갈릭,매드포갈릭,37.449379,126.911737,에이드 무료 제공,1700,2016-03-04,14:17:31
204,4345,17,쥬씨,쥬씨,37.672839,127.009536,무료 사이즈업,100,2017-09-09,12:53:53
205,13517,10,리얼후라이,리얼후라이,37.595877,127.165642,크리스피 후라이드 10% 할인,600,2017-06-27,12:58:47
206,4397,242,약국,약국,37.453223,126.875732,황사 마스크 증정(1매),1900,2016-07-13,09:16:07
207,12198,13,약국,약국,37.609576,127.139717,황사 마스크 증정(1매),400,2016-12-06,17:56:43
208,11320,59,오쭈,오쭈,37.566064,127.004113,치즈 퐁듀 1회 제공,900,2016-01-06,23:11:08
209,3444,7,롯데리아,롯데리아,37.61991,126.879201,롯데리아 음료M 제공,1500,2016-10-10,19:25:52
210,13451,286,파리바게트,파리바게트,37.659478,126.972064,1000원 이상 10% 할인,700,2017-10-23,15:55:50
211,7198,37,이디야커피,이디야커피,37.486184,126.97501,스마트 오더 사용시 10% 할인,100,2017-07-20,15:46:00
212,3545,86,원할머니보쌈,원할머니보쌈,37.571863,126.919087,"족발 3,000 할인 쿠폰 제공",1300,2016-09-03,16:19:35
213,1090,297,한신포차,한신포차,37.51657,127.07509,닭발 주문시 주먹밥 증정,1600,2016-03-24,13:00:35
214,5796,262,동경야네,동경야네,37.509119,126.893844,사케동 10% 할인,1600,2017-09-07,14:27:55
215,13271,246,아웃닭,아웃닭,37.603969,127.119685,치즈스틱 2개 제공,1200,2017-11-26,18:13:04
216,14490,105,아웃백,아웃백,37.613683,126.932909,스테이크 주문시 10% 할인,800,2017-08-19,18:37:51
217,11553,181,반디앤루니스,반디앤루니스,37.46263,127.168081,도서 구매시 5% 할인,900,2016-07-16,10:50:23
218,11140,286,파리바게트,파리바게트,37.643116,126.941831,1000원 이상 10% 할인,1500,2017-01-04,11:43:19
219,3473,277,약국,약국,37.499905,126.871301,황사 마스크 증정(1매),100,2017-01-15,17:01:59
220,13183,173,김덕후의곱창조,김덕후의곱창조,37.676964,126.874241,"곱창 무한 리필 2,000 할인",2000,2016-08-28,10:35:02
221,11666,56,뚜레쥬르,뚜레쥬르,37.648057,127.085637,2000원 이상 5% 할인,100,2016-06-06,21:54:54
222,825,259,정형외과,정형외과,37.638378,126.870631,정형외과의료지점,1500,2016-09-12,16:38:28
223,2721,297,정형외과,정형외과,37.520264,127.038678,정형외과의료지점,900,2018-03-02,17:59:56
224,12607,152,아웃백,아웃백,37.644631,126.888975,스테이크 주문시 10% 할인,1600,2017-08-05,18:31:16
225,8049,111,정형외과,정형외과,37.693597,127.004025,정형외과의료지점,900,2016-09-08,23:39:28
226,8310,200,스시로로,스시로로,37.708221,127.009187,2pcs 무료 제공,2000,2017-04-07,13:28:22
227,3986,44,아웃백,아웃백,37.490663,127.027426,스테이크 주문시 10% 할인,1200,2017-11-29,13:45:30
228,5209,133,이비인후과,이비인후과,37.585845,126.947423,코세척 서비스(무료),1500,2018-03-14,12:31:49
229,5134,89,스시로로,스시로로,37.632316,127.023011,2pcs 무료 제공,1300,2017-07-08,20:12:05
230,2865,186,베스킨라빈스,베스킨라빈스,37.606585,127.120699,무료 사이즈업,1800,2018-01-21,21:22:45
231,1270,5,버거킹,버거킹,37.6964,126.896194,와퍼주문시 5% 할인,1700,2017-09-21,21:27:55
232,11021,277,꾼,꾼,37.681263,126.879601,"소주 2,000 쿠폰",1300,2016-10-14,19:58:57
233,2953,189,김덕후의곱창조,김덕후의곱창조,37.497231,127.031882,"곱창 무한 리필 2,000 할인",1400,2016-02-01,23:18:29
234,4065,6,베스킨라빈스,베스킨라빈스,37.532591,126.937559,무료 사이즈업,300,2016-06-08,11:27:56
235,497,177,교보문고,교보문고,37.627624,127.191749,도서 구매시 10% 할인,300,2016-10-09,17:17:29
236,7823,184,약국,약국,37.505165,127.166862,황사 마스크 증정(1매),900,2017-04-08,17:04:29
237,7967,248,꾼,꾼,37.546574,127.10027,"소주 2,000 쿠폰",1600,2017-10-26,15:03:04
238,14566,161,원할머니보쌈,원할머니보쌈,37.685255,127.094962,"족발 3,000 할인 쿠폰 제공",1800,2017-07-07,18:26:57
239,2356,211,쥬씨,쥬씨,37.619554,126.951589,무료 사이즈업,1700,2016-05-29,14:32:20
240,8715,179,약국,약국,37.482956,126.91819,황사 마스크 증정(1매),100,2018-01-09,19:02:56
